,GPPractice,depression,alzheimers,blood pressure,hypertension,diabeties,cardiovascular disease,insomnia,addiction,social anxiety,NumberOfPaidItems,loneliness,Date,HBT,Postcode,pcstrip
244,16545,1377,85,1150,1155,204,1034,83,0,33,18189,3938,202201,S08000016,TD9 9DT,TD9 9DT
245,16545,1377,85,1150,1155,204,1034,83,0,33,18189,3938,202201,S08000016,TD9 9DT,TD9 9DT
246,16545,1377,85,1150,1155,204,1034,83,0,33,18189,3938,202201,S08000016,TD9 9DT,TD9 9DT
247,16550,520,31,609,609,100,460,49,0,5,7334,1769,202201,S08000016,TD1 2SQ,TD1 2SQ
248,16550,520,31,609,609,100,460,49,0,5,7334,1769,202201,S08000016,TD1 2SQ,TD1 2SQ
249,16550,520,31,609,609,100,460,49,0,5,7334,1769,202201,S08000016,TD1 2SQ,TD1 2SQ
250,16564,267,23,348,350,72,304,24,0,6,4547,1040,202201,S08000016,TD4 6DW,TD4 6DW
251,16564,267,23,348,350,72,304,24,0,6,4547,1040,202201,S08000016,TD4 6DW,TD4 6DW
252,16564,267,23,348,350,72,304,24,0,6,4547,1040,202201,S08000016,TD4 6DW,TD4 6DW
253,18057,685,13,583,588,107,421,61,9,6,8930,1884,202201,S08000017,DG9 7DW,DG9 7DW
254,18057,685,13,583,588,107,421,61,9,6,8930,1884,202201,S08000017,DG9 7DW,DG9 7DW
