,postcode,loneliness_zscore,ranked,deciles
554,KY12NA,-1.4879848706254433,216.0,2
555,KY12PG,-4.2487781314059925,16.0,0
556,KY138FP,1.5873684872522116,581.0,7
557,KY146DA,-0.4998115743726642,341.0,4
558,KY147AW,-2.0702017795554553,148.0,1
559,KY154JN,-0.962528171896745,277.0,3
560,KY157JS,0.3726623721572811,463.0,6
561,KY160DZ,0.5174481359588808,476.0,6
562,KY168AR,-1.2605381302384742,243.0,3
563,KY25RB,-0.43261021989456294,347.0,4
564,KY39DF,-1.0558217235557374,265.0,3
565,KY39RT,1.13274395883566,540.0,7
566,KY40AE,-4.116844480430378,19.0,0
567,KY48DF,-2.5865398957861037,104.0,1
568,KY49DH,-1.9259771693542151,171.0,2
569,KY50JE,-1.9740577382230473,166.0,2
570,KY58DA,-1.3424355719751593,232.0,3
571,KY59QZ,0.028854795537725186,417.0,5
572,KY61HL,0.09482889819345217,426.0,5
573,KY63LQ,-3.2516516981850025,57.0,0
574,KY74AQ,-3.092569014197498,69.0,0
575,KY74RH,-3.349010545112721,51.0,0
576,KY76ER,0.30356719343606,450.0,6
577,KY76SX,-0.027116485458014816,407.0,5
578,KY81HJ,-3.603203070845787,39.0,0
579,KY81HU,-1.5662434728415344,208.5,2
580,KY83HR,-1.5662434728415344,208.5,2
581,KY83RS,-3.3111119164042133,54.0,0
582,KY85JZ,-2.947009083257723,81.0,1
583,ML106AS,-1.668444723258171,198.0,2
584,ML110DB,0.34955149470026936,460.0,6
585,ML110PX,0.33496903679410966,457.0,6
586,ML117DH,-2.0154697608036742,159.0,2
587,ML118AJ,0.8530735139879323,515.0,6
588,ML118HJ,2.499901914102155,629.0,8
589,ML119SB,1.5659776596595343,575.0,7
590,ML11TA,-0.5453925545786017,335.0,4
591,ML11TB,-3.2173133616844267,60.0,0
592,ML126BE,-0.29827351270964203,371.0,5
593,ML12PJ,-0.5269790606629213,336.0,4
594,ML13JX,-0.40308470687018305,354.0,4
595,ML14LT,-1.047969153444826,266.0,3
596,ML14TH,1.7849095451089478,591.0,8
597,ML15AG,-1.5230023143205527,215.0,2
598,ML15JU,-1.3451355578114599,231.0,3
599,ML27LP,-2.2958805884428295,127.0,1
