postcode,loneliness_zscore,ranked,deciles
DD77RB,-0.5945035272159722,329.0,4
DD82AE,2.9439333330674193,639.0,8
DD82AS,0.07447797535976321,419.0,5
DD82HA,0.23583894757830876,438.0,5
DD84ES,0.3763312291481873,456.0,6
DD97AN,3.2529065936953376,649.0,8
DD97TA,-0.14550531254459573,392.0,5
DG109JP,-0.6483902847798235,319.0,4
DG111NH,-2.76165821772855,94.0,1
DG112BJ,1.492934825928292,565.0,7
DG113BT,-1.5153574631133468,210.0,2
DG11DL,-2.592008992694965,111.0,1
DG11TR,1.1038308018245835,534.0,7
DG126GN,-3.8316289828513246,34.0,0
DG126GS,-2.140163000353358,144.0,1
DG12PX,-5.10771079632525,8.0,0
DG130JY,1.48447877837554,562.0,7
DG140UX,5.717024909803065,703.0,9
DG14EJ,-2.0108403312010292,156.0,2
DG165NA,5.813408561942339,704.0,9
DG20UJ,0.3657714881762388,452.0,6
DG28BY,-0.1531064624041889,391.0,5
DG29BH,-1.499940178515594,212.0,2
DG35AA,-1.0921252118148512,267.0,3
DG46BT,-0.24113256942717062,381.0,5
DG54AZ,-3.0600261324134497,74.0,0
DG64BJ,-1.4807847114992858,215.0,2
DG73EE,1.2736618582473966,547.0,7
DG73RN,0.20200056946611758,435.0,5
DG80PU,0.8781659696994303,507.0,6
DG86NR,1.7424824851462026,586.0,7
DG88PS,1.2687514362781902,546.0,7
DG97DW,-1.3528240985445832,234.0,3
DG99DP,2.9804474709855837,640.0,8
DG99QQ,0.1137383411060835,425.0,5
EH104EY,0.7828505395578764,504.0,6
EH104RP,3.1710843198340246,646.0,8
EH105ER,4.064013196883209,677.0,9
EH106QT,2.897621170221365,637.0,8
EH112JL,0.35553977811390886,450.0,6
EH113RA,0.2597553969141797,442.0,6
EH114AU,-1.6635387754915867,189.0,2
EH11NA,12.199127064691828,732.0,9
EH125QX,-0.3723699403813902,360.0,4
EH125SS,0.25328708182031723,441.0,6
EH127TB,2.0987609978778496,610.0,8
EH127UN,1.199515009570446,539.0,7
EH128XP,-0.5826644203970115,331.0,4
EH130LB,2.2931114617069612,614.0,8
EH139AF,3.5819587188312267,662.0,9
EH141NQ,0.529964228047016,476.0,6
EH143JF,-0.34684250538220707,364.0,4
EH144AS,-2.1440842449924604,143.0,1
EH145QB,1.7234882031720233,582.0,7
EH151NY,0.7265080481056105,501.0,6
EH153LL,4.873947771765004,691.0,9
EH164DT,-1.9144855097428575,165.0,2
EH165HQ,0.18024060136393638,430.0,5
EH165QU,-0.6095783446891523,323.0,4
EH165TY,0.7101734633735188,497.0,6
EH166JT,0.6256339445980665,485.0,6
EH166RN,-0.9029964478217609,290.0,3
EH177AB,1.7722336325475614,589.0,8
EH177PR,-0.5261430258940882,339.0,4
EH192ET,-1.2644866595576427,243.0,3
EH209LA,-1.4107955030417414,227.0,3
EH217BP,1.2449088603308318,542.0,7
EH221AP,1.5687956898791833,573.0,7
EH221LX,-2.6342729462933403,106.0,1
EH224AA,-1.3323939995357152,236.0,3
EH234TP,-0.9754173788147973,282.0,3
EH259NT,1.6456662789738246,579.0,7
EH268EZ,2.790970280527604,634.0,8
EH268LF,2.76583232920341,633.0,8
EH288RH,-2.9550536813092196,81.0,1
EH299AS,-2.778655394199255,92.0,1
EH309HA,0.3215226038900051,448.0,6
EH312HP,1.6160661752161651,576.0,7
EH320JU,3.8837432858007044,668.0,9
EH329QS,-2.7763948182184945,93.0,1
EH332JX,1.3427718839291707,553.0,7
EH355AB,1.4530203748613353,561.0,7
EH35EU,3.2361266448238704,648.0,8
EH36EH,1.2648968624436279,545.0,7
EH375PP,0.13520363619767273,426.0,5
EH37EB,3.3332654833296065,652.0,8
EH394PU,2.0786227221026445,609.0,8
EH39HW,3.941238077860955,671.0,9
EH39QQ,-0.028746857091454858,403.0,5
EH403DP,4.039040394130722,673.0,9
EH413NF,0.8881581188268773,509.0,6
EH421EE,-0.4546474433784203,347.0,4
EH43TH,0.6675353080506895,492.0,6
EH446QE,0.7819719091883494,503.0,6
EH44PL,-2.6215894330840874,107.0,1
EH458JG,1.733140590745874,583.0,7
EH45BP,-1.4159904698795478,226.0,3
EH467EX,5.168396914161579,698.0,9
EH46NS,2.4875031621603116,621.0,8
EH470SD,-1.360683821913499,233.0,3
EH477LL,-0.2763943605340866,375.0,5
EH479JD,0.675740633228394,493.0,6
EH47NX,-2.5591905475777748,113.0,1
EH482SS,0.9468198134550146,516.0,7
EH483QB,-3.57636067340073,49.0,0
EH483SS,0.5633911276638628,479.0,6
EH497ER,1.521536942914297,568.0,7
EH510DQ,0.06569456041441735,418.0,5
EH519UE,-1.743020685481464,183.0,2
EH525LH,-0.4250299984260022,352.0,4
EH52LY,-2.576561625216416,112.0,1
