iz11_code,loneliness_zscore,rank,deciles
S02002257,-1.86233681978624,168.0,1
S02002258,-1.914676556936447,147.0,1
S02002259,-2.1484903512694715,102.0,0
S02002260,-1.892955411541415,158.0,1
S02002261,-2.0154516039507855,129.0,1
S02002262,-1.4079658884443684,297.0,2
S02002263,-0.45606949746531006,700.0,5
S02002264,-1.7024726291719277,210.0,1
S02002265,-1.4567601803122183,271.0,2
S02002266,-1.577007090829292,233.0,1
S02002267,-1.4311931212568823,283.0,2
S02002268,-1.2451331012775313,342.0,2
S02002269,-1.2120343675175234,352.0,2
S02002270,-1.4720968929145901,264.0,2
S02002271,-1.660561309793297,215.0,1
S02002272,-2.081971253441953,114.0,0
S02002273,-1.8694903091373218,167.0,1
S02002274,-1.8043513624879324,185.0,1
S02002275,-1.5930887411797983,227.0,1
S02002276,-1.881100796533841,160.0,1
S02002277,-1.2996567441604547,325.0,2
S02002278,-1.0846637419723402,420.0,3
S02002279,-1.0911226349004535,419.0,3
S02002280,-0.992476277907778,452.0,3
S02002281,-0.8230344049137285,526.0,4
S02002282,-0.9916263983228684,453.0,3
S02002283,-1.1033500897283446,410.0,3
S02002284,-0.9209764846246139,478.0,3
S02002285,0.12063297215296989,861.0,6
S02002286,-0.7289639281612231,569.0,4
S02002287,-2.1079373400483226,111.0,0
S02002288,-1.861910060911738,169.0,1
S02002289,-1.452611781994456,272.0,2
S02002290,-1.1808347282610394,363.0,2
S02002291,-1.1444957063745913,388.0,3
S02002292,1.5570769766667576,1145.0,8
S02002293,2.7071873422048003,1242.0,9
S02002294,2.6390101494534357,1238.0,9
S02002295,2.181195323795625,1207.0,9
S02002296,2.286372237387031,1221.0,9
S02002297,2.8782674534371644,1246.0,9
S02002298,2.287040414075098,1222.0,9
S02002299,2.2315751358581735,1215.0,9
S02002300,2.1071244975601995,1202.0,9
S02002301,2.440613173433915,1230.0,9
S02002302,1.9583593805695545,1183.0,9
S02002303,2.07567741866126,1197.0,9
S02002304,0.8258068102524515,1041.0,8
S02002305,2.1313334182065513,1203.0,9
S02002306,3.669047488900669,1263.0,9
S02002307,1.9198767807794204,1181.0,9
S02002308,2.879535022505816,1247.0,9
S02002309,2.443007410124823,1231.0,9
S02002310,1.27833560325276,1108.0,8
S02002311,1.3721094285794246,1123.0,8
S02002312,2.7901446141935073,1245.0,9
S02002313,2.3793907780705355,1226.0,9
S02002314,3.6917066418766185,1265.0,9
S02002315,2.204486309877191,1209.0,9
S02002316,2.1468582062720034,1204.0,9
S02002317,2.0628484509302325,1195.0,9
S02002318,2.15428277166161,1205.0,9
S02002319,2.0967323084181615,1201.0,9
S02002320,2.2123666173404053,1213.0,9
S02002321,3.4804946672801744,1256.0,9
S02002322,3.7487887484468208,1266.0,9
S02002323,2.670105458680443,1240.0,9
S02002324,3.5499232085204993,1259.0,9
S02002325,3.618830168972622,1260.0,9
S02002326,5.568752398943349,1277.0,9
S02002327,5.221075261631262,1276.0,9
S02002328,6.199330824692594,1279.0,9
S02002329,-0.6579430388901116,604.0,4
S02002330,-1.1458684630410736,387.0,3
S02002331,-1.1686549339195464,371.0,2
S02002332,-0.1937036839703578,777.0,6
S02002333,-1.9603174451027798,137.0,1
S02002334,-2.8269197056352353,38.0,0
S02002335,-2.9065477251348457,30.0,0
S02002336,-4.668324892710438,6.0,0
S02002337,-3.258197422179545,15.0,0
S02002338,-3.0578694386738374,25.0,0
S02002339,-1.8944790170379118,157.0,1
S02002340,-1.9139837745996193,148.0,1
S02002341,-2.4303467041560816,59.0,0
S02002342,-2.1604997757295226,97.0,0
S02002343,-2.052181384582695,120.0,0
S02002344,-1.901875557147962,151.0,1
S02002345,-1.899749845188315,152.0,1
S02002346,-1.5894622665312113,229.0,1
S02002347,-1.5791247453145303,232.0,1
S02002348,-1.2813437031433759,334.0,2
S02002349,-0.9330279484245908,471.0,3
S02002350,0.5976538543978396,995.0,7
S02002351,0.11087983188638521,859.0,6
S02002352,0.14067351396480493,868.0,6
S02002353,-0.5334950528765282,658.0,5
S02002354,-0.14779923993024405,796.0,6
S02002355,0.39065155648316435,937.0,7
S02002356,0.2987442077001294,911.0,7
S02002357,-0.18858654931193775,780.0,6
S02002358,-1.4354031758106107,281.0,2
S02002359,-2.9960828596826405,28.0,0
S02002360,-3.102501423753372,22.0,0
S02002361,-2.4821449272391085,53.0,0
S02002362,-2.5840772182022422,47.0,0
S02002363,-1.2461772615582105,341.0,2
S02002364,-1.5687521306654872,234.0,1
