sdz21_code,loneliness_zscore,rank,deciles
N21000233,1.5953893857948405,696.0,8.0
N21000234,1.7581996969581286,720.0,8.0
N21000235,0.8438465862470926,580.0,6.0
N21000236,1.410347799567886,663.0,7.0
N21000237,1.449096570957269,667.0,7.0
N21000238,1.0722090264577313,611.0,7.0
N21000239,1.2467006685895161,634.0,7.0
N21000240,0.8047946061658272,571.0,6.0
N21000241,0.3973288562177991,512.0,6.0
N21000242,0.8356029996753079,577.0,6.0
N21000243,-0.31431618617494217,381.0,4.0
N21000244,0.4103674613643433,515.0,6.0
N21000245,0.18444967716598082,477.0,5.0
N21000246,-0.8963072103600449,221.0,2.0
N21000247,0.340656476736837,502.0,5.0
N21000248,-0.5708237811140223,307.0,3.0
N21000249,0.11999002564004145,459.0,5.0
N21000250,-0.42490339809377625,357.0,4.0
N21000251,-0.7966278440461998,246.0,2.0
N21000252,1.9224502435408926,740.0,8.0
N21000253,-0.0027210820982862317,446.0,5.0
N21000254,1.0963403630031727,613.0,7.0
N21000255,-0.3455402852807536,375.0,4.0
N21000256,-0.9777140087485913,212.0,2.0
N21000257,-1.0430553525772956,204.0,2.0
N21000258,-2.752730181722022,27.0,0.0
N21000259,0.14430552570426172,465.0,5.0
N21000260,-1.1934988190848372,183.0,2.0
N21000261,-2.589366706780429,31.0,0.0
N21000262,0.7794425258560004,566.0,6.0
N21000263,0.8554823678339455,582.0,6.0
N21000264,-1.3254959942549869,168.0,1.0
N21000265,-2.296846758276742,60.0,0.0
N21000266,-1.932743388721764,87.0,1.0
N21000267,0.6332923619118837,542.0,6.0
N21000268,-1.6855273571888718,123.0,1.0
N21000269,0.7379655777562902,556.0,6.0
N21000270,-1.5014940034635842,143.0,1.0
N21000271,-0.8032711207094034,243.0,2.0
N21000272,-0.4527068817672084,347.0,4.0
N21000273,-1.2301346435951936,179.0,2.0
N21000274,-1.1642412573933218,185.0,2.0
N21000275,-0.8524873539722945,232.0,2.0
N21000276,-0.4639039558706802,344.0,4.0
N21000277,-1.0326867661075518,208.0,2.0
N21000278,-0.4512428620037762,348.0,4.0
N21000279,-0.5179638786244544,328.0,3.0
N21000280,-0.45073290453463094,349.0,4.0
N21000281,-0.8537807588659748,231.0,2.0
N21000282,-0.7307030604804712,261.0,3.0
N21000283,-0.7506538094005029,254.0,2.0
N21000284,-1.151847471497246,186.0,2.0
N21000285,-0.5291709997481522,321.0,3.0
N21000286,-1.7314326206928812,112.0,1.0
N21000287,-1.7233406920410819,114.0,1.0
N21000288,-1.9472070517116193,84.0,0.0
N21000289,-1.674559411066171,124.0,1.0
N21000290,-1.781611012762193,101.0,1.0
N21000291,-1.7365733297961938,109.0,1.0
N21000292,-1.802501924120786,100.0,1.0
N21000293,-1.618366987400125,131.0,1.0
N21000294,-1.314823151431954,169.0,1.0
N21000295,-1.764411025078814,107.0,1.0
N21000296,-1.6739656110034293,125.0,1.0
N21000297,-1.6968522600539628,120.0,1.0
N21000298,-1.7699583275811663,104.0,1.0
N21000299,-1.6986455391308533,119.0,1.0
N21000300,-1.7073573758191614,117.0,1.0
N21000301,-2.300514373362941,58.0,0.0
N21000302,-1.9109652601102558,92.0,1.0
N21000303,-1.572874497909355,137.0,1.0
N21000304,-2.3838681733064337,53.0,0.0
N21000305,-2.846376281370142,23.0,0.0
N21000306,-2.6275644753193395,30.0,0.0
N21000307,-2.215983636990612,64.0,0.0
N21000308,-2.291698144470217,61.0,0.0
N21000309,-2.1160284970405008,69.0,0.0
N21000310,-2.0711687668398056,73.0,0.0
N21000311,-1.7334386577731085,111.0,1.0
N21000312,-1.6863907138276315,122.0,1.0
N21000313,-1.8230988677008169,98.0,1.0
N21000314,-2.0515820407768564,76.0,0.0
N21000315,-1.3998898448879407,159.0,1.0
N21000316,-1.4406840548026503,150.0,1.0
N21000317,-1.2366255151665346,177.0,2.0
N21000318,-1.549785306623644,142.0,1.0
N21000319,1.544490879625583,684.0,8.0
N21000320,-2.0958495753032205,72.0,0.0
N21000321,-0.15266675622422238,414.0,4.0
N21000322,-0.40028680834909774,366.0,4.0
N21000323,1.1172717003470933,616.0,7.0
N21000324,-1.6333517412868634,130.0,1.0
N21000325,-0.6935093831570693,267.0,3.0
N21000326,-2.262737730270146,62.0,0.0
N21000327,-1.7334734789565407,110.0,1.0
N21000328,-1.3257042324815513,167.0,1.0
N21000329,-2.0549816229203697,75.0,0.0
N21000330,-2.298578042253121,59.0,0.0
N21000331,-3.0137748525740986,20.0,0.0
N21000332,-1.4603361145352782,146.0,1.0
N21000333,-2.068014021645945,74.0,0.0
N21000334,-1.9217900609726892,91.0,1.0
N21000335,-1.9301126661721477,89.0,1.0
N21000336,0.342204615631445,504.0,5.0
N21000337,0.34684947559104545,506.0,5.0
N21000338,0.44462741477393286,519.0,6.0
