lsoa21_code,loneliness_zscore,rank,deciles
W01000242,0.4627141937923137,921.0,4.0
W01000243,0.5482122717515765,969.0,5.0
W01000244,0.2941174302226579,813.0,4.0
W01000245,-1.0442548075030027,354.0,1.0
W01000246,-1.1537079903319232,322.0,1.0
W01000247,-0.7850276592367608,423.0,2.0
W01000248,-0.7490533319925873,434.0,2.0
W01000249,3.0547999160641397,1881.0,9.0
W01000250,2.4636879448449194,1820.0,9.0
W01000251,-1.8261568403552466,196.0,1.0
W01000252,-2.4957033440408445,135.0,0.0
W01000253,0.7828394262745363,1108.0,5.0
W01000254,0.9723377201201876,1236.0,6.0
W01000255,-0.20759546649327057,604.0,3.0
W01000256,0.3503044644267077,850.0,4.0
W01000257,0.0424175110661082,693.0,3.0
W01000258,0.9939569611415892,1254.0,6.0
W01000259,2.0883532959382958,1736.0,9.0
W01000260,2.4975377078839167,1826.0,9.0
W01000261,3.168347932354342,1887.0,9.0
W01000262,3.0453133636678538,1879.0,9.0
W01000263,2.856913215990878,1869.0,9.0
W01000264,3.9351747370611903,1899.0,9.0
W01000265,2.564711099978256,1834.0,9.0
W01000266,2.7741851014180057,1861.0,9.0
W01000267,1.234887640367435,1424.0,7.0
W01000268,1.9373110942618257,1670.0,8.0
W01000269,2.298126718921095,1785.0,9.0
W01000270,1.1483024346056585,1367.0,7.0
W01000271,1.04837979598051,1297.0,6.0
W01000272,1.2801599030296895,1440.0,7.0
W01000273,0.048115721332348295,697.0,3.0
W01000274,-0.6509317939699353,464.0,2.0
W01000275,-0.6730384138200909,455.0,2.0
W01000276,-0.3931625744519414,534.0,2.0
W01000277,-0.3155172225364165,557.0,2.0
W01000278,-0.21293030404643426,602.0,3.0
W01000279,-0.47219942719738034,515.0,2.0
W01000280,-0.5790977808547907,485.0,2.0
W01000281,-0.23486637848777892,595.0,3.0
W01000282,-0.2543172202259719,585.0,3.0
W01000283,-0.7296261567319258,442.0,2.0
W01000284,0.029339269835032145,683.0,3.0
W01000285,-0.18225867728974215,618.0,3.0
W01000286,0.2517639043033624,785.0,4.0
W01000287,-0.1561806746389516,622.0,3.0
W01000288,0.5008492388345452,944.0,4.0
W01000289,0.6608743554307389,1036.0,5.0
W01000290,0.544397115817664,962.0,5.0
W01000291,0.6117418815178974,1009.0,5.0
W01000292,0.30468827028567974,825.0,4.0
W01000293,-0.2365034435549353,593.0,3.0
W01000294,0.7007654477369771,1056.0,5.0
W01000295,0.38804961434640867,876.0,4.0
W01000296,1.0142628385200414,1264.0,6.0
W01000297,1.0458002077379953,1292.0,6.0
W01000298,-0.4108008593412135,530.0,2.0
W01000299,1.4859171314545867,1511.0,7.0
W01000300,2.0540629039631666,1722.0,9.0
W01000301,1.1508408248063762,1369.0,7.0
W01000302,0.0017559463971332078,673.0,3.0
W01000303,1.201969028387811,1405.0,7.0
W01000304,1.0844497382376026,1324.0,6.0
W01000305,1.0288141436793936,1276.0,6.0
W01000306,1.1047969251596483,1337.0,7.0
W01000307,2.2322454220957963,1776.0,9.0
W01000308,1.699220203960514,1580.0,8.0
W01000309,2.6056753711725325,1839.0,9.0
W01000310,2.952690527911596,1874.0,9.0
W01000311,-0.39594909811433193,533.0,2.0
W01000312,-1.0025956915001466,368.0,1.0
W01000313,1.5572957567385217,1544.0,8.0
W01000314,0.9755418899760379,1241.0,6.0
W01000315,1.4359765512975318,1496.0,7.0
W01000316,0.9638651309355617,1229.0,6.0
W01000317,1.2923841518248955,1442.0,7.0
W01000318,0.806936215458971,1124.0,5.0
W01000319,0.9650404833121274,1231.0,6.0
W01000320,0.7712761936296977,1098.0,5.0
W01000321,2.702234514401491,1851.0,9.0
W01000322,1.9794067689616006,1693.0,8.0
W01000323,1.050123377685269,1299.0,6.0
W01000324,1.1950769007317672,1401.0,7.0
W01000325,0.26527320490495,800.0,4.0
W01000326,1.799795620576811,1617.0,8.0
W01000327,0.9507942133182395,1218.0,6.0
W01000328,-0.6082751469471686,473.0,2.0
W01000329,-0.5195002309341932,502.0,2.0
W01000330,-0.6671319931300141,457.0,2.0
W01000331,-0.6363508549425421,467.0,2.0
W01000332,-0.7898779961945673,421.0,2.0
W01000333,-0.982830332612339,370.0,1.0
W01000334,-1.6540751775272637,218.0,1.0
W01000335,-5.068013700687845,22.0,0.0
W01000336,-1.3152234859040997,287.0,1.0
W01000337,-1.3070713166703827,291.0,1.0
W01000338,-0.5128867205840757,506.0,2.0
W01000339,3.1529387695484345,1886.0,9.0
W01000340,0.44485889855802424,905.0,4.0
W01000341,0.168060486818572,740.0,3.0
W01000342,-0.31794738111668414,555.0,2.0
W01000343,0.3777272340572321,869.0,4.0
W01000344,0.04441109213309932,694.0,3.0
W01000345,1.5454443961838433,1538.0,8.0
W01000346,3.3514413601729314,1894.0,9.0
W01000347,3.0124801262896894,1878.0,9.0
W01000348,2.722160843699039,1856.0,9.0
W01000349,-2.1353646756822786,170.0,0.0
W01000350,-1.3475419151834471,281.0,1.0
W01000351,2.676628639862204,1849.0,9.0
W01000354,4.4964852234612245,1900.0,9.0
W01000355,6.774170050908958,1908.0,9.0
W01000356,5.884657655219139,1907.0,9.0
W01000359,3.1978233239032803,1888.0,9.0
W01000360,1.5928692178008752,1558.0,8.0
W01000361,2.4573578024491134,1819.0,9.0
W01000362,3.6429080952250943,1896.0,9.0
W01000363,3.3120753036879993,1892.0,9.0
W01000364,1.9817128347711892,1694.0,8.0
W01000365,0.25268989007424,787.0,4.0
W01000366,-0.8922200683515642,401.0,2.0
W01000367,-0.9637353696244645,375.0,1.0
W01000368,-0.8451575202503333,414.0,2.0
W01000369,0.6223908939039294,1015.0,5.0
W01000370,0.3517613905615229,853.0,4.0
W01000371,-1.0773286023484692,340.0,1.0
W01000372,-1.4389489967537479,260.0,1.0
W01000373,4.913797869797221,1902.0,9.0
W01000374,0.2981255529244846,817.0,4.0
W01000375,-0.5998342526464286,476.0,2.0
W01000376,0.7522660901953248,1084.0,5.0
W01000377,1.910477733922996,1658.0,8.0
W01000378,1.1708310581046106,1384.0,7.0
W01000379,1.1932717853016117,1400.0,7.0
W01000380,-0.09413372493404244,649.0,3.0
W01000381,1.852529602293176,1637.0,8.0
W01000382,1.0935111853272175,1327.0,6.0
W01000384,0.5555701117129742,974.0,5.0
W01000385,1.7596756091671573,1605.0,8.0
W01000386,1.9766411285557004,1692.0,8.0
W01000387,-0.5334298393057517,497.0,2.0
W01000388,-0.6940655087461153,451.0,2.0
W01000389,5.216715472997234,1905.0,9.0
W01000390,1.4026535981296961,1481.0,7.0
W01000391,0.9927327267457651,1253.0,6.0
W01000392,1.1462808247741585,1365.0,7.0
W01000393,0.7632609809903395,1088.0,5.0
W01000394,0.777652706543738,1101.0,5.0
W01000395,0.6794563854542142,1045.0,5.0
W01000398,2.9332503919466872,1871.0,9.0
W01000399,2.9713743545489715,1877.0,9.0
W01000400,-0.21992102625962892,601.0,3.0
W01000401,2.1142289353567127,1742.0,9.0
W01000402,-0.2357505286189908,594.0,3.0
W01000403,5.060375828961983,1903.0,9.0
W01000404,2.1083865433354463,1740.0,9.0
W01000405,2.433150245702767,1814.0,9.0
W01000406,2.665813275886897,1846.0,9.0
W01000407,2.2776791376039776,1782.0,9.0
W01000408,3.3140486220717578,1893.0,9.0
W01000409,3.8674050591675577,1898.0,9.0
W01000410,0.701372572559537,1057.0,5.0
W01000411,2.6708804251113474,1847.0,9.0
W01000412,2.451036131803738,1818.0,9.0
W01000413,1.4424227477402984,1497.0,7.0
W01000414,1.230309356003076,1422.0,7.0
W01000415,0.6808043317455056,1046.0,5.0
W01000416,0.5154172396814545,949.0,4.0
W01000417,0.5990277910084812,1002.0,5.0
W01000418,1.1129267483689353,1346.0,7.0
W01000419,1.2929553830411156,1443.0,7.0
W01000420,1.7260313568257377,1590.0,8.0
W01000422,-1.04216004272198,355.0,1.0
W01000423,1.017819570062488,1268.0,6.0
W01000424,1.1865199908188842,1397.0,7.0
W01000425,1.4958618418488756,1516.0,7.0
W01000426,-1.2679421152141692,298.0,1.0
W01000427,-2.7399200824423775,120.0,0.0
W01000428,-2.1282398191898872,171.0,0.0
W01000429,-3.227147844604074,94.0,0.0
W01000430,-4.356443235704763,37.0,0.0
W01000431,0.2750788313142352,804.0,4.0
W01000432,0.3676871781204067,864.0,4.0
W01000433,-3.7928158492379778,57.0,0.0
W01000434,-1.3958874807567847,270.0,1.0
W01000438,-1.3384158605402552,282.0,1.0
W01000439,-4.050845178092352,54.0,0.0
W01000440,-5.288062992144904,17.0,0.0
W01000441,-0.7962124959569302,419.0,2.0
W01000442,-0.4583721377965854,522.0,2.0
W01000443,-3.3489617336705813,81.0,0.0
W01000444,-0.39867136628611005,531.0,2.0
W01000445,-3.565048478042713,68.0,0.0
